RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-03-01;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-03-01;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-03-01;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-03-01;A1UA34;BRA1UABDR001;A1UA;2;28,505;1;57,01
2021-03-01;A1VB34;BRA1VBBDR007;A1VB;75;249,2;1;18690
2021-03-01;A1ZN34;BRA1ZNBDR003;A1ZN;3130;44,9449392;1;140677,66
2021-03-01;AALL34;BRAALLBDR003;AALL;1807;114,9212285;1;207662,66
2021-03-01;AALR3;BRAALRACNOR6;AALR;2125277;10,3780474;1;22056225,65
2021-03-01;AAPL34;BRAAPLBDR004;AAPL;93036;67,9397897;1;6320846,28
2021-03-01;ABCB4;BRABCBACNPR4;ABCB;2587613;15,4430526;1;39960643,85
2021-03-01;ABEV3;BRABEVACNOR1;ABEV;256173141;15,1111997;1;3871083508,66
2021-03-01;ABTT34;BRABTTBDR007;ABTT;1417;167,81;1;237786,77
2021-03-01;ACWI11;BRACWICTF001;ACWI;20133;10,4908836;1;211212,96
2021-03-01;ADBE34;BRADBEBDR003;ADBE;18708;53,245759;1;996121,66
2021-03-01;AERI3;BRAERIACNOR4;AERI;3440982;10,5040791;1;36144347,34
2021-03-01;AGRO3;BRAGROACNOR7;AGRO;462120;23,689344;1;10947319,68
2021-03-01;ALPA3;BRALPAACNOR0;ALPA;17088;32,4463775;1;554443,7
2021-03-01;ALPA4;BRALPAACNPR7;ALPA;3743960;38,2228576;1;143104850,31
2021-03-01;ALPK3;BRALPKACNOR9;ALPK;9196;8,5711613;1;78820,4
2021-03-01;ALSO3;BRALSOACNOR5;ALSO;16083627;26,7886361;1;430858432,15
2021-03-01;ALUP11;BRALUPCDAM15;ALUP;2003413;25,23704;1;50560214,11
2021-03-01;ALUP3;BRALUPACNOR8;ALUP;1600;8,71;1;13936
2021-03-01;ALUP4;BRALUPACNPR5;ALUP;1190;8,1542857;1;9703,6
2021-03-01;ALZR11;BRALZRCTF006;ALZR;859;128,7749708;1;110617,7
2021-03-01;AMAR3;BRAMARACNOR4;AMAR;11687249;5,7412886;1;67099869,71
2021-03-01;AMBP3;BRAMBPACNOR6;AMBP;811639;25,0651463;1;20343850,31
2021-03-01;AMZO34;BRAMZOBDR002;AMZO;150565;113,068117;1;17024101,04
2021-03-01;ANIM3;BRANIMACNOR6;ANIM;3289532;10,7000286;1;35198086,738384
2021-03-01;APER3;BRAPERACNOR9;APER;79319;49,839036;1;3953182,5
2021-03-01;ARZZ3;BRARZZACNOR3;ARZZ;836706;71,9671753;1;60215367,46
