RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2021-02-24;A1LL34;BRA1LLBDR007;A1LL;13;111,72;1;1452,36
2021-02-24;A1MD34;BRA1MDBDR002;A1MD;22;471,92;1;10382,24
2021-02-24;A1NE34;BRA1NEBDR008;A1NE;1;421;1;421
2021-02-24;A1UA34;BRA1UABDR001;A1UA;2;28,505;1;57,01
2021-02-24;A1ZN34;BRA1ZNBDR003;A1ZN;5047;46,1959877;1;233151,15
2021-02-24;AALL34;BRAALLBDR003;AALL;25;100,04;1;2501
2021-02-24;AALR3;BRAALRACNOR6;AALR;1339316;10,8051895;1;14471563,25
2021-02-24;AAPL34;BRAAPLBDR004;AAPL;176409;69,320097;1;12228689
2021-02-24;ABBV34;BRABBVBDR001;ABBV;5;581,6;1;2908
2021-02-24;ABCB4;BRABCBACNPR4;ABCB;2639273;15,4310127;1;40726655,37
2021-02-24;ABEV3;BRABEVACNOR1;ABEV;263007089;15,2460589;1;4009821574,73
2021-02-24;ACWI11;BRACWICTF001;ACWI;19540;10,49;1;204974,6
2021-02-24;ADBE34;BRADBEBDR003;ADBE;15081;53,7513964;1;810624,81
2021-02-24;AERI3;BRAERIACNOR4;AERI;2734974;10,4192795;1;28496458,55
2021-02-24;AGRO3;BRAGROACNOR7;AGRO;434279;23,6822737;1;10284714,15
2021-02-24;ALPA3;BRALPAACNOR0;ALPA;32772;32,423578;1;1062585,5
2021-02-24;ALPA4;BRALPAACNPR7;ALPA;3617695;39,3982084;1;142530701,64
2021-02-24;ALPK3;BRALPKACNOR9;ALPK;8641;8,6133838;1;74428,25
2021-02-24;ALSO3;BRALSOACNOR5;ALSO;15212897;27,1301646;1;412728401,02
2021-02-24;ALUP11;BRALUPCDAM15;ALUP;1937427;25,7385941;1;49866647,23
2021-02-24;ALUP3;BRALUPACNOR8;ALUP;2600;8,5715384;1;22286
2021-02-24;ALUP4;BRALUPACNPR5;ALUP;400;8,38;1;3352
2021-02-24;ALZR11;BRALZRCTF006;ALZR;713;128,7857784;1;91824,26
2021-02-24;AMAR3;BRAMARACNOR4;AMAR;10400992;5,8827336;1;61186265,79
2021-02-24;AMBP3;BRAMBPACNOR6;AMBP;838944;25,3148486;1;21237740,39
2021-02-24;AMZO34;BRAMZOBDR002;AMZO;246321;113,8240928;1;28037264,37
2021-02-24;ANIM3;BRANIMACNOR6;ANIM;4040066;11,086873;1;44791698,923051
2021-02-24;APER3;BRAPERACNOR9;APER;92427;49,3190763;1;4558414,27
2021-02-24;ARZZ3;BRARZZACNOR3;ARZZ;1164317;71,7975547;1;83595113,51
2021-02-24;ATMP3;BRATMPACNOR8;ATMP;42;3,1761904;1;133,4
2021-02-24;ATOM3;BRATOMACNOR1;ATOM;20044;4,2938235;1;86065,4
2021-02-24;ATVI34;BRATVIBDR008;ATVI;978;539,0434969;1;527184,54
2021-02-24;AURA33;BRAURABDR001;AURA;29809;55,6018652;1;1657436
2021-02-24;AVLL3;BRAVLLACNOR5;AVLL;100;22,93;1;2293
2021-02-24;AZEV3;BRAZEVACNOR0;AZEV;4581;7,0014232;1;32073,52
2021-02-24;AZEV4;BRAZEVACNPR7;AZEV;732;3,7532513;1;2747,38
